"","Sensor","Date_Time","Date","Time","Count"
"232","Little Collins St-Swanston St (East)",2017-07-01 03:00:00,2017-07-01,3,174
"233","Flinders La-Swanston St (West)",2017-07-01 03:00:00,2017-07-01,3,467
"234","Pelham St (South)",2017-07-01 03:00:00,2017-07-01,3,NA
"235","Melbourne Central-Elizabeth St (East)",2017-07-01 03:00:00,2017-07-01,3,NA
"236","QVM-Queen St (East)",2017-07-01 03:00:00,2017-07-01,3,NA
"237","QVM-Therry St (South)",2017-07-01 03:00:00,2017-07-01,3,NA
"238","Faraday St-Lygon St (West)",2017-07-01 03:00:00,2017-07-01,3,NA
"239","QVM-Franklin St (North)",2017-07-01 03:00:00,2017-07-01,3,NA
"240","Elizabeth St-Lonsdale St (South)",2017-07-01 03:00:00,2017-07-01,3,NA
"241","Lincoln-Swanston (W)",2017-07-01 03:00:00,2017-07-01,3,NA
"242","Elizabeth St-La Trobe St (East)",2017-07-01 03:00:00,2017-07-01,3,NA
"243","Lonsdale St - Elizabeth St (North)",2017-07-01 03:00:00,2017-07-01,3,NA
"244","Bourke St Bridge",2017-07-01 03:00:00,2017-07-01,3,NA
"245","Bourke St - Spencer St (North)",2017-07-01 03:00:00,2017-07-01,3,NA
"246","RMIT Bld 80 - 445 Swanston Street",2017-07-01 03:00:00,2017-07-01,3,NA
"247","Flinders La-Swanston St (West) Temporary",2017-07-01 03:00:00,2017-07-01,3,NA
"248","RMIT Building 14",2017-07-01 03:00:00,2017-07-01,3,NA
"249","380 Elizabeth St",2017-07-01 03:00:00,2017-07-01,3,NA
"250","La Trobe St (North)",2017-07-01 03:00:00,2017-07-01,3,NA
"251","231 Bourke St",2017-07-01 03:00:00,2017-07-01,3,NA
"252","Royal Pde - Grattan St",2017-07-01 03:00:00,2017-07-01,3,NA
"253","Bourke Street Mall (North)",2017-07-01 04:00:00,2017-07-01,4,18
"254","Bourke Street Mall (South)",2017-07-01 04:00:00,2017-07-01,4,39
"255","Melbourne Central",2017-07-01 04:00:00,2017-07-01,4,108
"256","Town Hall (West)",2017-07-01 04:00:00,2017-07-01,4,122
"257","Princes Bridge",2017-07-01 04:00:00,2017-07-01,4,0
